1,0.1862,0.122,0.0931,0.1278,-0.0289,0.0058
2,0.3202,0.3258,0.3404,0.3422,0.0146,0.0164
3,0.6494,0.6907,0.5571,0.6799,-0.1336,-0.0108
4,0.2516,0.1076,0.1041,0.1482,-0.0035,0.0406
5,0.6022,0.608,0.5888,0.6013,-0.0192,-0.0067
6,0.4769,0.6838,0.6599,0.6624,-0.0239,-0.0214
7,0.3261,0.3684,0.3466,0.3843,-0.0218,0.0159
8,0.8077,0.687,0.5832,0.5833,-0.1038,-0.1037
9,0.1658,0.0959,0.094,0.1137,-0.0019,0.0178
10,0.5566,0.2376,0.2246,0.3315,-0.013,0.0939
11,0.688,0.7032,0.6798,0.6802,-0.0234,-0.023
12,0.3471,0.1774,0.1721,0.2237,-0.0053,0.0463
